article,example,lastRepeat,nextRepeat,repeats,transcription,translate,word,table_id
die,stillende Mutter (кормящая матерь),0,0,0,[ˈmʊtɐ],мама,Mutter (Mütter),0
der,himmlischer Vater (небесный отец),0,0,0,[ˈfaːtɐ],папа,Vater (Väter),0
die,die Sonne scheint (солнышко светит),0,0,0,[ˈzɔnə],солнце,Sonne (-n),0
das,Haus am Strand (дом на пляже),0,0,0,[haʊ̯s],дом,Haus (Häuser),0
die,Liter Milch (литр молока),0,0,0,[mɪlç],молоко, млечный сок, эмульсия,Milch,0
die,eine chronische Krankheit (хроническая болезнь),0,0,0,[ˈkʁaŋkhaɪ̯t],болезнь, недомогание, ,Krankheit (-en),0
das,mein letztes Jahr (мой последний год),0,0,0,[jaːɐ̯],год,Jahr (-e),0
das,obiges Beispiel (вышеприведенный пример),0,0,0,[ˈbaɪ̯ˌʃpiːl],пример,Beispiel ( -e),0
die,auch lange Zeit (также долгое время),0,0,0,[ʦaɪ̯t],время, эпоха,"Zeit (=, -en)",0
die,federal Reserve Bank (федеральный резервный банк),0,0,0,[baŋk],банк, скамейка,Bank,0
das,Geschäft im Internet (магазин в интернете),0,0,0,[ɡəˈʃɛft],магазин, бизнес,Geschäft (-e),0
die,Kirche Santa Maria (церковь santa maria),0,0,0,[ˈkɪʁçə],церковь,Kirche (-n),0
der,russischer Markt (русский рынок),0,0,0,[maʁkt],рынок,Markt (Märkte),0
die,Cent Pro Minute (центы в минуту),0,0,0,[miˈnuːtə],минута,Minute (-n),0
der,Patient im Krankenhaus (пациент в больнице),0,0,0,[paˈʦi̯ɛnt],пациент,Patient (-en),0
der,Platz zum Spielen (место для игры),0,0,0,[plaʦ],место, поле,Platz (Plätze),0
die,alte Schule (старая школа),0,0,0,[ˈʃuːlə],школа,Schule (-n),0
das,Weg ins Krankenhaus (дорога в больницу),0,0,0,[ˈkʁaŋkn̩haʊ̯s],больница,Krankenhaus (Krankenhäuser),0
die,Stadt am Meer (приморский город),0,0,0,[ʃtat],город, ,Stadt (Städte),0
die,mit leiser Stimme (низкий голос),0,0,0,[ˈʃtɪmə],голос,Stimme (-n),0
die,Straße im Stadtteil (улица в районе),0,0,0,[ˈʃtʁaːsə],улица, дорога,Straße (-n),0
der,am frühen Abend (в начале вечера),0,0,0,[ˈaːbn̩t],вечер,Abend (-e),0
der,mit zunehmendem Alter (с увеличением возраста),0,0,0,[ˈaltɐ],возраст, эпоха,Alter (=),0
der,gemeinsamer Feind (общий враг),0,0,0,[faɪ̯nt],враг,Feind (-e),0
die,Gefühl der Langeweile (чувство скуки),0,0,0,[ˈlaŋəˌvaɪ̯lə],скука,Langeweile (=),0
die,eigene Faulheit (собственная лень),0,0,0,[ˈfaʊ̯lhaɪ̯t],лень,Faulheit (=),0
die,Träne im Auge (слеза в глазу),0,0,0,[ˈtʁɛːnə],слеза,Träne (-n),0
die,ukrainische Sprache (украинский язык),0,0,0,[ˈʃpʁaːχə],язык, речь,Sprache (-n),0
das,klavier Spielen (играть на пианино),0,0,0,[klaˈviːɐ̯],фортепиано, пианино,Klavier (-e),0
die,unsere einzige Hoffnung (наша единственная надежда),0,0,0,[ˈhɔfnʊŋ],надежда,,Hoffnung (-en),0
